,UnixTimeStamp,eth_etherprice,eth_tx,eth_address,eth_supply,eth_marketcap,eth_hashrate,eth_difficulty,eth_blocks,eth_uncles,eth_blocksize,eth_blocktime,eth_gasprice,eth_gaslimit,eth_gasused,eth_ethersupply,eth_ens_register
571,1487548800,12.52,50152,1068400,89070824.7188,1115.16672548,10118.1204,137.08700000000002,6015,362,1696,14.31,22466228953,4006821,1804435972,31387.8125,
572,1487635200,12.77,58434,1071424,89102241.5938,1137.83562515,10342.9777,140.244,6052,320,1989,14.2,22569187220,4007765,2378366614,31416.875,
573,1487721600,12.69,50372,1073757,89133228.9375,1131.10067522,10225.688,140.528,5968,319,1790,14.43,22844411723,4009128,2167016939,30987.34375,
574,1487808000,13.13,47601,1076071,89164458.4688,1170.72933969,10249.8892,139.77100000000002,6019,317,1667,14.29,22741575515,4009303,1835447879,31229.53125,
575,1487894400,13.11,54081,1078758,89195722.0625,1169.35591624,10300.806999999999,140.244,6011,335,1778,14.34,22755690878,4010814,1810426719,31263.59375,
576,1487980800,13.57,53245,1081093,89227275.9688,1210.8141349000002,10613.2667,142.922,6039,377,1761,14.28,22580332911,4009354,2017627760,31553.90625,
577,1488067200,14.59,51716,1083604,89259096.125,1302.29021246,11038.1733,147.403,6089,381,1713,14.12,22771424431,4012114,1704657840,31820.15625,
578,1488153600,15.55,52642,1086792,89290342.5312,1388.46482636,11078.6475,150.763,5988,361,1819,14.37,23193818563,4022567,1932296583,31246.40625,
579,1488240000,16.07,60277,1091303,89322198.625,1435.4077319,11579.116000000002,154.531,6107,367,1935,14.08,23580755304,4032516,2140853331,31856.09375,
580,1488326400,17.55,59774,1098329,89353343.4688,1568.15117788,11193.1403,152.61,5958,379,2235,14.45,27402631555,4019383,2146017149,31144.84375,
581,1488412800,19.08,70779,1104821,89384974.4062,1705.46531167,11369.6535,152.75,6061,370,2209,14.2,23609865289,4020666,2278844062,31630.9375,
582,1488499200,19.48,64294,1111646,89416273.3125,1741.82900413,11791.9899,160.218,6006,353,2084,14.31,23008036079,4017598,2015645991,31298.90625,
583,1488585600,18.61,58756,1115958,89447445.9688,1664.61696948,11641.3951,158.696,5985,353,1860,14.37,22752613012,4012281,1881415432,31172.65625,
584,1488672000,19.22,57031,1120047,89479007.8438,1719.78653076,12169.6377,163.957,6073,340,1821,14.18,22459193729,4008611,1890414773,31561.875,
585,1488758400,19.75,57020,1124705,89510160.9688,1767.82567913,12202.0077,166.365,5977,360,1808,14.41,22683379793,4010710,1824348403,31153.125,
586,1488844800,18.91,62589,1128534,89541229.7188,1693.22465398,12126.1529,165.933,5978,336,1963,14.43,22439900327,4006006,1962866259,31068.75,
587,1488931200,16.54,55386,1132810,89572555.6562,1481.53007055,12566.0974,170.548,6016,350,1800,14.29,22717981194,4007589,1749096281,31325.9375,
588,1489017600,17.71,64266,1139420,89603365.1875,1586.87559747,12593.1903,173.894,5928,329,2403,14.54,22460423289,4013111,2168001854,30809.53125,
589,1489104000,19.13,65132,1145555,89634392.2188,1714.70592314,12622.6645,172.946,5953,353,2190,14.43,25715550291,4009374,2244444377,31027.03125,
590,1489190400,21.45,64803,1151496,89665627.6875,1923.3277139000002,12870.7578,175.15099999999998,6002,347,2014,14.35,22822227019,4010983,2121047668,31235.46875,
591,1489276800,23.31,66646,1158864,89696477.2188,2090.82488397,12911.1921,177.745,5919,357,2043,14.53,22944292835,4008825,2112935282,30849.53125,
592,1489363200,28.45,81718,1170758,89728090.9688,2552.76418806,13434.1504,180.235,6040,400,2452,14.25,23503094188,4013572,3230713433,31613.75,
593,1489449600,28.58,77155,1180408,89759305.8125,2565.32096012,13255.2329,179.845,5961,407,2433,14.43,22958465248,4010738,3113154274,31214.84375,
594,1489536000,35.18,81205,1190919,89790683.4688,3158.83624443,13628.7396,184.132,5986,409,2456,14.37,22877843867,4014215,2732822658,31377.65625,
595,1489622400,45.51,109950,1208579,89822111.4375,4087.80429152,13794.9629,185.854,5990,423,3071,14.37,23318234775,4024249,3665163840,31427.96875,
596,1489708800,44.48,106635,1224321,89853953.3125,3996.70384334,14518.7852,192.81,6046,460,2880,14.22,27329559604,4039328,3367447756,31841.875,
597,1489795200,34.0,89920,1236276,89885435.6562,3056.10481231,14696.5419,197.601,5991,435,2513,14.36,22588280322,4043895,2680677691,31482.34375,
598,1489881600,43.12,84599,1244923,89916430.1875,3877.19646969,13915.1809,190.86700000000002,5950,349,2396,14.48,22676654708,4063474,2539978136,30994.53125,
599,1489968000,42.51,80264,1254137,89948100.5,3823.69375226,14863.3155,199.408,6066,374,2316,14.15,22485861954,4094927,2538286690,31670.3125,
600,1490054400,42.67,84298,1264243,89979116.9062,3839.40891839,14561.0448,199.63099999999997,5957,345,2507,14.46,22401666063,4083835,2722576858,31016.40625,
601,1490140800,41.65,78821,1272509,90010489.25,3748.93687726,14914.7357,201.632,6008,383,2368,14.31,22752454613,4160216,2630501522,31372.34375,
602,1490227200,43.2,82434,1280501,90041470.1875,3889.7915121,15425.4361,210.87900000000002,5914,406,2513,14.55,22541771175,4204180,2732317738,30980.9375,
603,1490313600,53.19,87775,1291931,90072311.125,4790.94622874,15334.1063,211.0,5913,366,2557,14.54,27441833681,4227395,2802719814,30840.9375,
604,1490400000,50.62,84394,1301464,90103373.9375,4561.03278872,15439.4585,211.205,5962,354,2428,14.44,23012529660,4148208,2527232365,31062.8125,
605,1490486400,50.63,79534,1308803,90134549.4062,4563.51223644,16219.4936,221.175,5981,355,2375,14.37,22249849693,4055066,2604354268,31175.46875,
606,1490572800,49.06,94570,1320623,90165551.5938,4423.52196119,16894.3097,231.657,5951,350,2896,14.45,22247794560,4067603,3525902049,31002.1875,
607,1490659200,50.25,84348,1329617,90196107.0625,4532.35437989,16458.957,229.549,5900,295,2543,14.61,22247087954,4076318,2829505044,30555.46875,
608,1490745600,53.07,93064,1338529,90227375.3438,4788.36680949,17141.823,232.98,5988,369,2744,14.36,22264312196,4209754,3116605361,31268.28125,
609,1490832000,51.91,96209,1352837,90258195.1875,4685.30291218,17183.9723,236.982,5910,355,2853,14.57,22337722011,4194903,3137212539,30819.84375,
610,1490918400,49.91,103102,1367188,90289403.4688,4506.34412713,17643.5302,240.139,5971,377,2949,14.39,22421222086,4186445,3436349297,31208.28125,
611,1491004800,50.6,80572,1374894,90320254.4062,4570.20487296,17342.0731,239.048,5926,342,2403,14.51,22145659410,4222081,2573095663,30850.9375,
612,1491091200,48.55,88948,1385185,90350695.1875,4386.52625135,17320.8014,242.037,5846,337,2669,14.7,22176202916,4251363,2994651161,30440.78125,
613,1491177600,44.13,100221,1398126,90381881.4375,3988.55242784,16564.8723,225.778,5979,360,2788,14.4,22176569227,4275871,3376865972,31186.25,
614,1491264000,44.43,86279,1408346,90412936.75,4017.0467798,17593.0096,240.588,5932,386,2518,14.49,22335006404,4177144,2864503196,31055.3125,
615,1491350400,44.9,87411,1418641,90444172.0625,4060.94332561,18094.6996,246.27900000000002,5986,362,2558,14.41,22438228964,4172167,2984719130,31235.3125,
616,1491436800,43.23,95177,1432417,90474896.4375,3911.22977299,17967.3505,248.61900000000003,5880,364,2799,14.65,22774967565,4147633,3183645283,30724.375,
617,1491523200,42.31,92846,1440597,90505970.9688,3829.30763169,18253.0325,249.575,5946,373,2776,14.47,22133175527,4199878,3272867342,31074.53125,
618,1491609600,44.37,72144,1447313,90536886.5938,4017.12165816,18340.2159,252.485,5936,340,2249,14.52,22134943280,4167174,2355623725,30915.625,
619,1491696000,43.72,74557,1453300,90567128.625,3959.59486349,18009.4232,253.175,5797,349,2358,14.9,21963656913,4081472,2602180314,30242.03125,
620,1491782400,43.74,75487,1460327,90597165.8125,3962.72003264,18072.1973,255.97299999999998,5758,342,2460,14.97,22330645586,4122521,2760816737,30037.1875,
621,1491868800,43.74,75891,1466464,90627616.2812,3964.05193614,18671.3934,261.03700000000003,5849,331,2377,14.76,22007626117,4058937,2679717515,30450.46875,
622,1491955200,46.38,80347,1476683,90657833.3125,4204.71030903,18555.8787,260.942,5779,365,2697,14.98,23067711028,4054299,3182442702,30217.03125,
